COLUMN_NAME,COLUMN_TYPE,IS_PRIMARY_KEY,IS_NULLABLE,IS_UNIQUE,IS_INDEX,IS_FOREiGN_KEY,FOREiGN_KEY_TABLE,FOREiGN_KEY_COLUMN
id,bigint unsigned,○,×,×,○,×,×,,
beautician_occupation_id,bigint unsigned,×,×,×,○,×,×,beautician_occupations,id
category_image_id,bigint unsigned,×,×,×,○,×,×,category_images,id
category_name,varchar(255),×,×,×,×,×,×,,
sort,tinyint,×,×,×,×,×,×,,
is_discount,tinyint(1),×,×,×,×,×,×,,
type,"enum('default','manual')",×,×,×,×,×,×,,
created_at,timestamp,×,○,×,×,×,×,,
updated_at,timestamp,×,○,×,×,×,×,,
